"Marital.status","Application.mode","Application.order","Daytime.evening.attendance.","Previous.qualification","Previous.qualification..grade.","Mother.s.qualification","Father.s.qualification","Mother.s.occupation","Father.s.occupation","Admission.grade","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","International","Unemployment.rate","Inflation.rate","GDP","Target"
"single","non-traditional","1","1","specialized",120,"bachelors or higher","bachelors or higher","group3","group6",120,"0","0","1","0","0","0",20,"1",12.4,0.5,1.79,"1"
"single","traditional","5","1","secondary",126,"bachelors or higher","bachelors or higher","group2","group2",121.1,"0","0","1","1","0","0",18,"0",12.7,3.7,-1.7,"1"
"single","traditional","2","1","secondary",133,"bachelors or higher","less than secondary","group2","group7",120.4,"1","0","0","1","0","0",22,"0",8.9,1.4,3.51,"0"
"single","traditional","6","1","secondary",103,"secondary","bachelors or higher","group2","group2",100.6,"1","1","0","1","0","0",22,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",120,"secondary","less than secondary","group5","group5",121.4,"0","0","0","0","0","0",20,"0",12.4,0.5,1.79,"1"
"single","non-traditional","1","0","secondary",133.1,"less than secondary","less than secondary","group9","group9",109.7,"0","0","0","1","0","0",29,"0",16.2,0.3,-0.92,"1"
"single","traditional","1","0","secondary",154,"less than secondary","less than secondary","group4","group5",134.1,"0","0","0","1","0","0",24,"0",7.6,2.6,0.32,"0"
"single","traditional","2","1","secondary",130,"less than secondary","less than secondary","group9","group9",127.6,"1","0","0","1","0","0",18,"0",11.1,0.6,2.02,"0"
"single","traditional","6","1","secondary",132,"less than secondary","less than secondary","group7","group7",132.4,"1","0","0","1","0","1",22,"0",11.1,0.6,2.02,"0"
"single","non-traditional","1","0","specialized",130,"secondary","less than secondary","group9","group9",133.4,"0","0","0","1","0","1",21,"0",12.4,0.5,1.79,"0"
"single","traditional","1","1","secondary",139,"less than secondary","less than secondary","group9","group9",126.1,"0","0","0","1","0","1",19,"0",12.7,3.7,-1.7,"0"
"single","non-traditional","1","1","secondary",130,"less than secondary","less than secondary","group9","group7",113.5,"0","0","0","1","0","1",24,"0",12.4,0.5,1.79,"0"
"single","traditional","1","1","secondary",139,"less than secondary","less than secondary","group6","group6",121.3,"1","0","0","1","0","1",19,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",127,"secondary","less than secondary","group7","group7",121.8,"1","0","0","1","0","1",20,"0",9.4,-0.8,-3.12,"0"
"single","traditional","3","1","secondary",167,"less than secondary","less than secondary","other situation","other situation",159.3,"0","0","0","1","0","0",19,"0",7.6,2.6,0.32,"0"
"single","non-traditional","1","0","secondary",130,"less than secondary","less than secondary","group9","group9",120,"0","0","0","1","0","0",27,"0",9.4,-0.8,-3.12,"1"
"single","traditional","1","1","secondary",130,"secondary","less than secondary","group5","group5",129.1,"1","0","0","1","0","0",18,"0",15.5,2.8,-4.06,"0"
"married","non-traditional","1","1","bachelors or higher",130,"secondary","bachelors or higher","group4","group3",130,"0","0","0","1","0","0",39,"0",12.4,0.5,1.79,"1"
"single","non-traditional","1","1","bachelors or higher",129,"bachelors or higher","bachelors or higher","group2","group2",155.3,"1","0","0","1","0","0",27,"0",12.4,0.5,1.79,"1"
"single","traditional","1","1","secondary",141,"less than secondary","less than secondary","group7","group10",139.8,"1","0","0","1","0","0",18,"0",9.4,-0.8,-3.12,"0"
"single","traditional","3","1","secondary",125,"less than secondary","less than secondary","group4","group9",115.2,"1","0","0","1","0","0",18,"0",7.6,2.6,0.32,"0"
"single","traditional","2","1","secondary",125,"less than secondary","less than secondary","group9","group9",114.9,"0","0","0","1","0","0",18,"0",16.2,0.3,-0.92,"0"
"single","non-traditional","1","1","specialized",130,"less than secondary","secondary","group9","group9",131.9,"0","0","0","1","0","1",21,"0",13.9,-0.3,0.79,"0"
"single","traditional","3","1","secondary",133,"secondary","less than secondary","group4","group7",126,"1","0","0","1","1","1",19,"0",10.8,1.4,1.74,"0"
"single","traditional","1","1","secondary",127,"secondary","secondary","group3","group4",130.2,"1","0","0","1","1","0",19,"0",10.8,1.4,1.74,"0"
"single","non-traditional","1","1","secondary",116,"secondary","secondary","group3","group3",120.9,"0","0","0","1","1","0",24,"0",12.7,3.7,-1.7,"0"
"legally separated","non-traditional","1","1","less than secondary",133.1,"secondary","secondary","group5","group5",126,"1","0","0","1","1","0",29,"0",13.9,-0.3,0.79,"1"
"single","traditional","3","1","secondary",139,"less than secondary","less than secondary","group5","group3",128.2,"1","0","0","1","1","1",19,"0",10.8,1.4,1.74,"0"
"single","non-traditional","1","1","specialized",130,"less than secondary","less than secondary","group9","group9",130,"1","0","0","1","1","0",23,"0",8.9,1.4,3.51,"0"
"single","traditional","3","1","secondary",125,"secondary","less than secondary","group7","group7",120.1,"0","0","1","1","1","0",19,"0",16.2,0.3,-0.92,"1"
"single","non-traditional","1","1","secondary",160,"less than secondary","less than secondary","group7","group10",100,"0","0","0","1","1","0",26,"0",12.7,3.7,-1.7,"0"
"single","traditional","1","1","secondary",148,"less than secondary","less than secondary","group5","group5",134,"0","0","0","1","1","0",18,"0",7.6,2.6,0.32,"0"
"single","traditional","1","1","secondary",150,"less than secondary","less than secondary","group8","group4",130.8,"0","0","0","1","1","0",24,"0",13.9,-0.3,0.79,"0"
"single","traditional","1","1","secondary",141,"less than secondary","less than secondary","group5","group10",135.8,"1","0","0","1","1","0",19,"0",15.5,2.8,-4.06,"1"
"single","traditional","4","1","secondary",118,"less than secondary","less than secondary","group5","group7",111.7,"1","0","0","1","1","0",18,"0",12.4,0.5,1.79,"1"
"single","traditional","2","1","secondary",142,"less than secondary","less than secondary","group9","group9",132.9,"1","0","0","1","1","0",18,"0",10.8,1.4,1.74,"0"
"single","traditional","3","1","secondary",120,"less than secondary","less than secondary","group4","group7",115.5,"1","0","1","1","1","0",18,"0",10.8,1.4,1.74,"1"
"single","traditional","4","1","secondary",106,"less than secondary","less than secondary","group7","group7",106,"1","0","0","1","1","1",21,"0",9.4,-0.8,-3.12,"1"
"single","traditional","4","1","secondary",121,"secondary","less than secondary","group9","group8",120.3,"1","0","1","1","1","1",19,"0",8.9,1.4,3.51,"0"
"single","traditional","4","1","secondary",150,"less than secondary","less than secondary","group9","group9",130.8,"0","0","0","1","1","1",22,"0",16.2,0.3,-0.92,"0"
"married","non-traditional","1","0","secondary",120,"less than secondary","less than secondary","group9","group6",117,"0","0","0","1","1","0",33,"0",10.8,1.4,1.74,"0"
"single","traditional","6","1","secondary",114,"less than secondary","less than secondary","group9","group9",110.2,"1","0","0","1","1","0",20,"0",10.8,1.4,1.74,"1"
"single","non-traditional","1","0","bachelors or higher",140,"bachelors or higher","bachelors or higher","group2","group2",155.7,"1","0","0","1","1","0",35,"0",10.8,1.4,1.74,"1"
"single","non-traditional","1","1","bachelors or higher",160,"bachelors or higher","bachelors or higher","group4","group2",180.4,"0","0","1","1","1","0",24,"0",12.4,0.5,1.79,"1"
"single","traditional","1","1","secondary",120,"less than secondary","less than secondary","group4","group4",125.5,"0","0","0","1","1","0",18,"0",12.7,3.7,-1.7,"0"
"married","non-traditional","1","0","secondary",130,"less than secondary","less than secondary","group9","group6",110,"1","0","0","1","0","0",33,"0",9.4,-0.8,-3.12,"0"
"single","non-traditional","1","1","secondary",160,"less than secondary","less than secondary","group9","group7",161,"1","0","0","1","0","1",22,"0",10.8,1.4,1.74,"0"
"single","non-traditional","1","1","secondary",120,"secondary","less than secondary","group4","group5",100,"0","0","0","1","0","1",25,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",124,"less than secondary","less than secondary","group4","student",117.6,"1","0","0","1","1","0",20,"0",7.6,2.6,0.32,"0"
"single","traditional","6","1","secondary",143,"less than secondary","less than secondary","group9","group9",128.7,"1","0","0","1","1","0",23,"0",11.1,0.6,2.02,"0"
"single","non-traditional","2","1","secondary",115,"less than secondary","less than secondary","group9","group6",112.2,"1","0","1","1","1","0",18,"0",15.5,2.8,-4.06,"0"
"single","non-traditional","1","1","secondary",133.1,"secondary","secondary","group4","group10",100.8,"0","0","0","1","1","0",24,"0",13.9,-0.3,0.79,"1"
"single","traditional","2","1","secondary",133.1,"less than secondary","secondary","group9","group9",105,"1","0","0","0","0","0",21,"1",8.9,1.4,3.51,"0"
"single","non-traditional","1","1","secondary",133.1,"secondary","secondary","group4","group4",100,"0","0","0","1","0","0",26,"1",8.9,1.4,3.51,"1"
"married","non-traditional","1","1","less than secondary",133.1,"less than secondary","unknown","student","student",115.5,"0","0","0","1","0","0",39,"0",7.6,2.6,0.32,"1"
"married","non-traditional","1","0","secondary",133.1,"less than secondary","less than secondary","group9","group9",114,"0","0","0","1","0","0",44,"0",12.7,3.7,-1.7,"0"
"single","non-traditional","1","1","secondary",130,"less than secondary","bachelors or higher","group9","group2",137,"1","0","0","1","1","0",19,"1",13.9,-0.3,0.79,"0"
"single","traditional","5","1","secondary",135,"less than secondary","secondary","group5","group5",124.9,"1","0","0","1","0","0",18,"0",8.9,1.4,3.51,"0"
"single","traditional","5","1","secondary",132,"less than secondary","less than secondary","group7","group7",120.3,"1","0","0","1","0","1",18,"0",12.4,0.5,1.79,"0"
"single","traditional","1","1","secondary",135,"secondary","bachelors or higher","group9","group1",134.3,"1","0","0","1","0","0",19,"0",12.7,3.7,-1.7,"0"
"single","traditional","4","1","secondary",115,"bachelors or higher","bachelors or higher","group2","group2",111.5,"1","0","1","0","0","0",19,"0",13.9,-0.3,0.79,"1"
"single","non-traditional","1","1","specialized",130,"less than secondary","less than secondary","group9","group9",128.8,"0","0","0","1","0","0",21,"0",8.9,1.4,3.51,"1"
"single","traditional","4","1","secondary",133.1,"secondary","secondary","group9","group10",110,"1","0","0","1","0","0",20,"0",16.2,0.3,-0.92,"0"
"married","non-traditional","1","0","secondary",130,"less than secondary","less than secondary","group6","group5",113.5,"1","0","0","1","0","0",36,"0",9.4,-0.8,-3.12,"1"
"legally separated","non-traditional","1","1","less than secondary",133.1,"less than secondary","less than secondary","group9","group6",160,"0","0","0","1","0","0",43,"0",15.5,2.8,-4.06,"0"
"single","traditional","1","1","secondary",123,"less than secondary","less than secondary","group9","group7",117.4,"1","0","0","1","0","0",19,"0",11.1,0.6,2.02,"1"
"single","non-traditional","1","1","secondary",130,"bachelors or higher","secondary","group2","group8",122.2,"0","0","1","1","0","0",20,"0",11.1,0.6,2.02,"0"
"single","traditional","2","1","secondary",122,"less than secondary","less than secondary","group4","group7",118.2,"1","0","0","1","0","0",19,"0",16.2,0.3,-0.92,"1"
"single","traditional","1","1","secondary",113,"secondary","secondary","group4","group4",106.7,"1","0","0","1","0","0",20,"0",15.5,2.8,-4.06,"1"
"single","traditional","5","1","secondary",111,"bachelors or higher","bachelors or higher","group4","group3",108.2,"1","0","0","1","0","0",20,"0",12.4,0.5,1.79,"1"
"single","traditional","2","1","secondary",133.1,"less than secondary","secondary","group9","group3",107,"1","0","0","1","0","0",20,"0",16.2,0.3,-0.92,"0"
"single","traditional","1","1","secondary",142,"less than secondary","less than secondary","group6","group7",136.1,"1","0","0","1","0","0",18,"0",13.9,-0.3,0.79,"0"
"single","traditional","2","1","secondary",123,"secondary","less than secondary","group4","group7",115.3,"1","0","0","1","0","1",18,"0",8.9,1.4,3.51,"0"
"single","traditional","1","1","secondary",131,"less than secondary","less than secondary","group9","group9",139.8,"1","0","0","1","0","0",19,"0",10.8,1.4,1.74,"0"
"single","traditional","3","1","secondary",158,"secondary","less than secondary","group4","group7",157,"1","0","0","1","0","0",18,"0",10.8,1.4,1.74,"0"
"single","traditional","2","1","secondary",122,"less than secondary","less than secondary","group9","group9",131,"1","0","0","1","0","0",18,"0",7.6,2.6,0.32,"1"
"single","non-traditional","1","1","secondary",130,"less than secondary","less than secondary","group9","group5",100,"0","0","0","1","0","0",20,"0",13.9,-0.3,0.79,"0"
"single","traditional","1","1","secondary",154,"less than secondary","less than secondary","group9","group7",140.4,"1","0","0","1","0","1",20,"0",7.6,2.6,0.32,"0"
"single","traditional","1","1","secondary",120,"less than secondary","less than secondary","group3","group3",113.4,"0","0","0","1","0","0",20,"0",12.4,0.5,1.79,"0"
"single","traditional","2","1","secondary",140,"less than secondary","less than secondary","group9","group7",137,"0","0","0","1","0","0",18,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",127,"bachelors or higher","less than secondary","group4","group5",121.8,"0","0","0","1","0","0",18,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",133.1,"secondary","secondary","group4","group5",131,"1","0","0","1","0","0",21,"0",9.4,-0.8,-3.12,"1"
"single","traditional","2","1","secondary",120,"less than secondary","less than secondary","group9","group7",118.6,"1","0","0","1","0","0",19,"0",16.2,0.3,-0.92,"0"
"single","traditional","1","1","secondary",137,"bachelors or higher","less than secondary","group2","group9",122.3,"0","0","0","1","0","0",19,"0",10.8,1.4,1.74,"1"
"single","traditional","1","1","secondary",131,"less than secondary","less than secondary","group9","group9",127.9,"0","0","0","1","0","1",19,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",130,"less than secondary","less than secondary","group4","group7",121.3,"1","0","0","1","0","0",19,"0",15.5,2.8,-4.06,"0"
"single","traditional","6","1","secondary",122,"secondary","secondary","group4","group5",117.1,"1","0","0","1","0","0",19,"0",13.9,-0.3,0.79,"1"
"single","non-traditional","1","1","specialized",160,"less than secondary","less than secondary","group9","group9",160,"1","0","0","1","0","0",20,"0",12.4,0.5,1.79,"0"
"single","traditional","1","1","secondary",146,"less than secondary","less than secondary","group9","group3",145.3,"1","0","0","1","0","1",18,"0",9.4,-0.8,-3.12,"0"
"single","traditional","3","1","secondary",131,"secondary","specialized","group5","group3",122.6,"1","0","0","1","0","0",18,"0",12.4,0.5,1.79,"0"
"single","traditional","6","1","secondary",132,"secondary","less than secondary","group8","group9",128,"1","0","0","1","0","0",19,"0",12.4,0.5,1.79,"0"
"single","traditional","3","1","secondary",138,"less than secondary","less than secondary","group5","group8",124.9,"1","0","0","1","0","1",18,"0",13.9,-0.3,0.79,"1"
"single","traditional","2","1","secondary",130,"less than secondary","less than secondary","group9","group9",123.7,"1","0","0","1","0","0",18,"0",7.6,2.6,0.32,"0"
"single","traditional","4","1","secondary",126,"secondary","less than secondary","group4","group8",120.1,"1","0","0","1","0","0",19,"0",8.9,1.4,3.51,"0"
"single","traditional","6","1","secondary",148,"secondary","less than secondary","group3","group3",131.7,"1","0","0","1","0","0",19,"0",13.9,-0.3,0.79,"1"
"single","non-traditional","1","1","secondary",130,"less than secondary","less than secondary","group9","group7",133.2,"0","0","0","1","0","0",20,"0",7.6,2.6,0.32,"0"
"single","traditional","1","1","secondary",117,"secondary","less than secondary","group3","group9",109.3,"0","0","1","0","0","1",19,"0",12.4,0.5,1.79,"1"
"single","traditional","1","1","secondary",120,"less than secondary","less than secondary","group5","group5",113,"1","0","0","1","0","0",20,"0",7.6,2.6,0.32,"0"
"single","traditional","1","1","secondary",153,"secondary","secondary","group4","group7",157.9,"0","0","1","1","0","1",18,"0",8.9,1.4,3.51,"0"
"single","traditional","2","1","secondary",117,"less than secondary","secondary","group4","group7",112.1,"0","0","0","1","0","1",20,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",178,"less than secondary","secondary","group4","group8",174.7,"0","0","0","1","0","0",18,"0",13.9,-0.3,0.79,"0"
"single","traditional","5","1","secondary",129,"less than secondary","less than secondary","group9","group9",128.8,"1","0","0","1","0","0",19,"0",7.6,2.6,0.32,"0"
"single","traditional","6","1","secondary",116,"less than secondary","secondary","group4","group4",110.1,"1","0","0","1","0","1",19,"0",12.4,0.5,1.79,"0"
"single","non-traditional","1","1","secondary",99,"bachelors or higher","secondary","group3","group3",99.7,"1","0","1","0","0","0",22,"0",8.9,1.4,3.51,"0"
"single","traditional","3","1","secondary",135,"secondary","less than secondary","group9","group10",121,"1","0","0","1","0","1",19,"0",12.4,0.5,1.79,"0"
"single","traditional","3","1","secondary",141,"less than secondary","less than secondary","group9","group7",131.7,"1","0","0","1","0","1",19,"0",15.5,2.8,-4.06,"0"
"single","traditional","5","1","secondary",132,"less than secondary","less than secondary","group5","group6",119.1,"1","0","0","1","0","1",19,"0",9.4,-0.8,-3.12,"0"
"single","traditional","4","1","secondary",132,"less than secondary","less than secondary","group9","group9",124.7,"1","0","0","1","0","0",19,"0",7.6,2.6,0.32,"1"
"single","traditional","1","1","secondary",113,"secondary","less than secondary","group9","group10",117.2,"1","0","0","1","0","0",20,"0",7.6,2.6,0.32,"1"
"single","traditional","1","1","secondary",134,"bachelors or higher","less than secondary","group2","group10",128.8,"0","0","0","1","0","0",18,"0",13.9,-0.3,0.79,"0"
"single","traditional","1","1","secondary",136,"secondary","less than secondary","group9","group9",131.5,"0","0","0","1","0","1",20,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",136,"bachelors or higher","less than secondary","group2","group8",121.7,"1","0","0","1","0","0",18,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",129,"secondary","less than secondary","group4","group7",123.4,"0","0","0","1","0","0",19,"0",7.6,2.6,0.32,"0"
"single","traditional","1","1","secondary",138,"less than secondary","less than secondary","group7","group6",124.7,"1","0","0","1","0","0",18,"0",9.4,-0.8,-3.12,"0"
"single","traditional","1","1","secondary",137,"less than secondary","less than secondary","group9","group9",132.8,"1","0","0","1","0","0",18,"0",7.6,2.6,0.32,"0"
"single","non-traditional","1","1","secondary",115,"bachelors or higher","less than secondary","group2","group5",108.7,"1","0","0","1","0","0",21,"0",9.4,-0.8,-3.12,"1"
"single","traditional","1","1","secondary",129,"less than secondary","less than secondary","group6","group6",138.1,"0","0","0","1","0","0",19,"0",7.6,2.6,0.32,"1"
"single","traditional","1","1","secondary",131,"less than secondary","less than secondary","group9","group9",126.5,"0","0","0","1","0","1",18,"0",12.4,0.5,1.79,"0"
"single","traditional","2","1","secondary",133,"secondary","less than secondary","group7","group9",127.4,"1","0","0","1","0","1",18,"0",12.7,3.7,-1.7,"0"
"single","traditional","3","1","secondary",125,"less than secondary","secondary","group9","group10",123.6,"1","0","0","1","0","0",20,"0",9.4,-0.8,-3.12,"0"
"single","non-traditional","1","0","secondary",120,"secondary","less than secondary","group6","group8",122,"0","0","0","1","0","1",24,"0",11.1,0.6,2.02,"0"
"single","traditional","1","1","secondary",128,"less than secondary","secondary","group4","group1",118.2,"0","0","0","1","0","0",19,"0",10.8,1.4,1.74,"1"
"single","traditional","1","1","secondary",127,"less than secondary","less than secondary","group9","group7",123.9,"1","0","0","1","0","1",18,"0",15.5,2.8,-4.06,"0"
"single","traditional","2","1","secondary",134,"less than secondary","less than secondary","group9","group9",125.8,"1","0","0","1","0","0",18,"0",15.5,2.8,-4.06,"0"
"single","traditional","5","1","secondary",132,"less than secondary","less than secondary","group4","group4",123.3,"1","0","0","1","0","0",21,"0",10.8,1.4,1.74,"1"
"single","traditional","2","1","secondary",124,"secondary","less than secondary","group5","group4",124.4,"0","0","0","1","0","0",19,"0",7.6,2.6,0.32,"0"
"single","traditional","1","1","secondary",133.1,"less than secondary","less than secondary","group7","group7",126,"0","0","0","1","0","1",19,"0",15.5,2.8,-4.06,"0"
"widowed","non-traditional","1","1","secondary",170,"secondary","less than secondary","group6","group6",170,"0","0","1","1","0","0",47,"0",8.9,1.4,3.51,"0"
"single","traditional","3","1","secondary",125,"less than secondary","less than secondary","group7","group8",121.5,"0","0","0","1","0","0",19,"0",13.9,-0.3,0.79,"0"
"single","non-traditional","1","1","bachelors or higher",130,"bachelors or higher","bachelors or higher","group1","group1",130,"0","0","0","1","0","0",29,"0",12.7,3.7,-1.7,"0"
"single","non-traditional","1","1","secondary",125,"less than secondary","less than secondary","group4","group8",117,"1","0","0","1","0","0",21,"0",16.2,0.3,-0.92,"1"
"single","non-traditional","1","1","secondary",130,"less than secondary","less than secondary","group9","group7",130,"1","0","0","1","0","0",28,"0",12.7,3.7,-1.7,"0"
"single","traditional","2","1","secondary",133.1,"less than secondary","less than secondary","group3","group10",108,"0","0","0","1","0","0",20,"0",15.5,2.8,-4.06,"0"
"single","traditional","1","1","secondary",131,"bachelors or higher","less than secondary","group4","group5",132.3,"1","0","0","1","0","0",19,"0",7.6,2.6,0.32,"0"
"single","non-traditional","1","0","secondary",150,"less than secondary","bachelors or higher","group4","group6",148,"0","0","0","1","0","0",26,"0",9.4,-0.8,-3.12,"0"
"single","traditional","2","1","secondary",125,"less than secondary","less than secondary","group9","group8",122.6,"1","0","1","0","0","0",20,"0",11.1,0.6,2.02,"1"
"single","traditional","1","1","secondary",131,"less than secondary","less than secondary","group9","group9",123,"1","0","0","1","0","1",18,"0",7.6,2.6,0.32,"0"
"single","non-traditional","1","1","secondary",130,"less than secondary","less than secondary","group9","group5",102.5,"0","0","0","1","0","0",27,"0",7.6,2.6,0.32,"0"
"single","traditional","2","1","secondary",123,"unknown","unknown","other situation","other situation",113.3,"1","0","0","1","0","0",20,"0",7.6,2.6,0.32,"1"
"single","traditional","5","1","secondary",141,"less than secondary","less than secondary","group9","group5",133,"1","0","0","1","0","0",18,"0",9.4,-0.8,-3.12,"1"
"single","non-traditional","1","1","bachelors or higher",140,"secondary","secondary","group9","group5",140,"0","0","0","1","0","0",33,"0",16.2,0.3,-0.92,"1"
"single","non-traditional","1","1","secondary",140,"bachelors or higher","secondary","group3","group3",128.3,"1","0","0","1","0","0",35,"0",12.4,0.5,1.79,"0"
"single","non-traditional","1","0","specialized",140,"less than secondary","less than secondary","group9","group8",140,"0","0","0","1","0","1",26,"0",9.4,-0.8,-3.12,"0"
